Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Name,Customer City,Customer Country,Customer Id,Customer Lname,Customer State,Customer Zipcode,order date (DateOrders),Order City,Order Country,Order Id,Order Item Discount,Order Item Discount Rate,Order Item Id,Order Item Product Price,Order Item Quantity,Sales,Order Item Total,Product Name,shipping date (DateOrders),Shipping Mode,Product Weight,Weight Unit
PAYMENT,5,2,80.33999634,167.3699951,Late delivery,1,Cleats,Caguas,Puerto Rico,5007,Smith,PR,725,4/25/2015 1:14,Cabimas,Venezuela,7814,12.60000038,0.07,19544,59.99000168,3,179.9700012,167.3699951,Perfect Fitness Perfect Rip Deck,4/30/2015 1:14,Second Class,1,kg
PAYMENT,5,2,-26.69000053,163.7700043,Late delivery,1,Cleats,Caguas,Puerto Rico,5007,Smith,PR,725,4/25/2015 1:14,Cabimas,Venezuela,7814,16.20000076,0.090000004,19542,59.99000168,3,179.9700012,163.7700043,Perfect Fitness Perfect Rip Deck,4/30/2015 1:14,Second Class,1,kg
TRANSFER,5,4,-155.8999939,283.4500122,Late delivery,1,Cleats,Caguas,Puerto Rico,1473,Young,PR,725,01/06/2015 19:26,Córdoba,México,399,16.5,0.059999999,989,59.99000168,5,299.9500122,283.4500122,Perfect Fitness Perfect Rip Deck,01/11/2015 19:26,Standard Class,1,kg
DEBIT,3,2,129.7400055,370.6700134,Late delivery,1,Cameras ,Caguas,Puerto Rico,13080,Duffy,PR,725,10/11/2017 22:03,Messina,Italia,69527,81.37000275,0.180000007,172842,452.0400085,1,452.0400085,370.6700134,Web Camera,10/14/2017 22:03,Second Class,1,kg
TRANSFER,2,4,207.4799957,414.9599915,Advance shipping,0,Cardio Equipment,Caguas,Puerto Rico,5243,Smith,PR,725,12/15/2015 15:58,Antipolo,Filipinas,23886,84.98999786,0.170000002,59793,99.98999786,5,499.9500122,414.9599915,Nike Men's Free 5.0+ Running Shoe,12/17/2015 15:58,Standard Class,1,kg
TRANSFER,6,4,82.98999786,331.9700012,Late delivery,1,Cardio Equipment,New York,EE. UU.,3497,Smith,NY,10016,10/10/2016 11:42,Khouribga,Marruecos,44425,67.98999786,0.170000002,110912,99.98999786,4,399.9599915,331.9700012,Nike Men's Free 5.0+ Running Shoe,10/16/2016 11:42,Standard Class,1,kg
DEBIT,4,4,-149.8500061,113.0899963,Shipping on time,0,Men's Footwear,Salina,EE. UU.,10790,Smith,KS,67401,3/23/2016 12:30,Waitakere,Nueva Zelanda,30658,16.89999962,0.129999995,76585,129.9900055,1,129.9900055,113.0899963,Nike Men's CJ Elite 2 TD Football Cleat,3/27/2016 12:30,Standard Class,1,kg
DEBIT,4,4,122.9800034,299.9500122,Shipping on time,0,Cleats,Tempe,EE. UU.,5246,Smith,AZ,85281,8/25/2015 17:32,Marbella,España,16218,0,0,40487,59.99000168,5,299.9500122,299.9500122,Perfect Fitness Perfect Rip Deck,8/29/2015 17:32,Standard Class,1,kg
DEBIT,4,4,83.15000153,296.9500122,Shipping on time,0,Cleats,Tempe,EE. UU.,5246,Smith,AZ,85281,8/25/2015 17:32,Marbella,España,16218,3,0.01,40486,59.99000168,5,299.9500122,296.9500122,Perfect Fitness Perfect Rip Deck,8/29/2015 17:32,Standard Class,1,kg
DEBIT,5,4,86.12000275,260.9599915,Late delivery,1,Cleats,Baldwin Park,EE. UU.,8674,Rhodes,CA,91706,8/14/2015 15:37,Huelva,España,15459,38.99000168,0.129999995,38631,59.99000168,5,299.9500122,260.9599915,Perfect Fitness Perfect Rip Deck,8/19/2015 15:37,Standard Class,1,kg
